mine_id,company_mine_type,company_name,company_address,company_city,company_zipcode,company_injury_count,company_underground_surface
Contractor,Contractor,Drift Exploration Drilling,P.O. BOX 10,WINNEMUCCA,89446,0,Surface
Contractor,Contractor,Palmetto Splice Service Inc.,P.O. BOX 7223,COLUMBIA,29202,0,Surface
Contractor,Contractor,Northern Fire & Safety Inc,1798 NORTHERN STAR DR.,TRAVERSE CITY,49686,0,Surface
Contractor,Contractor,Westhoff Construction Co Inc,6282 HIGHWAY 69,PORTER,74454,0,Surface
Contractor,Contractor,Corona Clay Company,22079 KNABE RD,CORONA,92883,0,Surface
Contractor,Contractor,Blanchard Machinery Co,P.O. BOX 7517,COLUMBIA,29202,0,Surface
Contractor,Contractor,Billett Electric,20549 ROUTE 119,PUNXSUTAWNEY,15767,0,Surface
Contractor,Contractor,Billett Electric,20549 ROUTE 119,PUNXSUTAWNEY,15767,0,Surface
Contractor,Contractor,Parrish Electrical Serivce,P.O. BOX 3114,PHOENIX CITY,36868,0,Surface
Contractor,Contractor,Fqs Bear Equipment Inc,P.O. BOX 84039,LEXINGTON,29073,0,Surface
Contractor,Contractor,Fqs Bear Equipment Inc,P.O. BOX 84039,LEXINGTON,29073,0,Surface
Contractor,Contractor,Parker Construction,P.O. BOX 147,WORTHEN,31094,0,Surface
Contractor,Contractor,Versatile Fabrication,2708 9TH ST,MUSKEGON HGTS,49444,1,Surface
Contractor,Contractor,American Tank & Vessel,15810 PARK TEN PL STE 210,HOUSTON,77084,0,Surface
Contractor,Contractor,Steves Electrical & Repair Inc,175 INDIAN SPRINGS DR,CEDAR BLUFF,24609,0,Underground
Contractor,Contractor,Certified Sheet Metal,2458 WALDORF CRT,WALKER,49544,0,Surface
Contractor,Contractor,Cardan Laboratories Inc,P.O. BOX 541,NORTHERN CAMB,15714,0,Surface
Contractor,Contractor,Hayward Electric Company,3150 DIABLO AVE,HAYWARD,94545,0,Surface
Contractor,Contractor,Panhandle Paving & Grading Inc,P.O. BOX 3717,PENSACOLA,32516,0,Surface
