mine_id,contract_id,incident_activity,incident_category,incident_day,incident_description,incident_description2,incident_month,incident_state,incident_type,incident_year,operator_contractor,underground_location,underground_method
100851,,Unknown,Hoisting,16,THE #7 SPLIT SHAFT WAS TAKEN DOWN TO CHANGE THE ROPE.  THIS WAS A PLANNED OUTAGE AND CALLED IN BEFORE IT WAS TAKEN DOWN.  IT WAS ALSO CALLED BACK IN TO THE HOTLINE WHEN IT WAS PLACED BACK INTO SERVICE.,,January,Alabama,Accident type without injuries,2020,Operator,Not labeled,Unknown
100851,,"Handling supplies or material, load and unload",Handling material,12,IE WAS REMOVING A COVER FROM THE TRAM MOTORS ON A SCOOP TO DO PERMISSIBILITY WITH MSHA. AS THE IE REACH OUT TO GET THE COVER AND PULL IT THEY FELT A PAIN IN THE NECK AND LEFT SHOULDER. IE DID NOT REQUEST MEDICAL ATTENTION UNTIL 2-17-20.,,February,Alabama,Over-exertion in pulling or pushing objects,2020,Operator,Face,Longwall
100851,,Machine maint./repair,Handling material,13,IE WAS CARRYING OLD STRUCTURE OFF OF A BELT LINE.  IE MADE THE DECISION TO TAKE ROLLERS FROM A FRAME BY USING ANOTHER ROLLER AS A HAMMER.  DURING THIS THE IE SMASHED A HAND BETWEEN THE ROLLER THEY WERE USING FOR A HAMMER AND THE TOP FRAME THEY WERE H,ITTING. IE WAS BROUGHT OUT AND TRANSPORTED TO THE HOSPITAL FOR FURTHER EVALUATION.,February,Alabama,Struck by NEC,2020,Operator,Other,Longwall
100851,,Locomotive (air trammer),Powered haulage,18,IE WAS TRAVELING UP THE TRACK WITH A LOCOMOTIVE PULLING A TRASH CAR. AS THE IE CROSSED A TRACK SWITCH THE CURVED RAIL BROKE AND CAME UP INTO THE TRASH CAR. THE SUDDEN STOP CAUSED THE IE TO BUMP LEFT HAND AND KNEE INSIDE THE OPERATORS COMPARTMENT. THE,IE WAS BROUGHT OUT AND WENT TO THE DOCTOR TO BE CHECKED OUT.,February,Alabama,Struck against moving object,2020,Operator,Other,Longwall
100851,,"Get on or off equip. machines, etc.",Slip or fall of person (from an elevation or on the same level),24,EMPLOYEE WAS CLIMBING OUT OF A LOTRAC AND STEPPED ON UNEVEN GROUND. EMPLOYEE THEN FELT A PAIN IN THE RIGHT KNEE. EMPLOYEE DID NOT REPORT THE INCIDENT UNTIL 3-6-2020 AND DID NOT MISS WORK UNTIL 3-10-2020.,,February,Alabama,Over-exertion NEC,2020,Operator,Face,Longwall
100851,,Moving equipment,Nonpowered haulage,25,IE WAS STEADYING A PUMP ON A SET OF HAND TRUCKS AS ANOTHER EMPLOYEE WAS PULLING IT.  THE EMPLOYEE PULLING IT LET GO OF THE HAND TRUCKS CAUSING THEM TO RAISE UP AND HIT THE IE IN THE SIDE OF THE NECK.  IE HAD A SMALL SCRATCH AND BRUISE.  IE DENIED MED,ICAL TREATMENT AND FINISHED SHIFT.  IE REQUESTED TO GO TO THE DR AFTER IE WENT HOME.,February,Alabama,Struck by NEC,2020,Operator,Other,Longwall
100851,,Ventilation (maintenance/installation),Handling material,26,IE WAS MIXING BLOCK BOND TO SEAL A BRATTICE WHEN IE FELT A PAIN IN RIGHT SHOULDER.  IE REQUESTED TO BE BROUGHT OUT TO SEE A DOCTOR.  IE WAS DIAGNOSED WITH A SHOULDER STRAIN.,,February,Alabama,Over-exertion NEC,2020,Operator,Other,Longwall
100851,,Locomotive (air trammer),Powered haulage,2,IE WAS OPERATING A LOCOMOTIVE AND DERAILED AT A SWITCH.  IE BUMPED AN ELBOW AGAINST A FIRE EXTINGUISHER.  IE DECIDED TO SEEK MEDICAL ATTENTION. IE DID NOT REPORT BACK TO WORK FOR 2 DAYS.,,March,Alabama,Struck against moving object,2020,Operator,Other,Longwall
100851,,Walking/running,Handling material,4,IE WAS GOING THROUGH A MANDOOR INTO THE RETURN.  IE DID NOT GET COMPLETELY THROUGH THE DOOR BEFORE IT SHUT AND IT CAUGHT EE'S FOOT.  AS THE IE PUSHED THE DOOR OPEN EE FELT A POP IN THE LEFT HAND AND A SHARP PAIN.  IE DID NOT WANT TO GO TO THE DOCTOR,UNTIL THE NEXT SHIFT.,March,Alabama,Over-exertion in pulling or pushing objects,2020,Operator,Other,Longwall
100851,,Unknown,Hoisting,16,HOIST HAD EXCESS SLACK IN 1 OF THE 4 ROPES AND ADDITIONAL WEAR ON ONE SET OF WEAR PADS.  MSHA WAS NOTIFIED OF THIS ON 3-16-20.  THE HOIST HAS SINCE HAD THE WEAR PADS MILLED AND MATCHED ALONG WITH THE ROPES TENSIONED.  MSHA WAS NOTIFIED OF IT BACK IN,OPERATION.,March,Alabama,Accident type without injuries,2020,Operator,Not labeled,Unknown
100851,,"Handling supplies or material, load and unload",Handling material,18,IE WAS CLEANING UP THE GATE FLOOR. THE IE WENT TO DRAG A WASH DOWN HOSE WHEN THEY SLIPPED CAUSING THEM TO TWIST THEIR BACK. IE WAS BROUGHT OUTSIDE AND TRANSPORTED TO A LOCAL HOSPITAL TO BE CHECKED OUT.,,March,Alabama,Over-exertion in pulling or pushing objects,2020,Operator,Other,Longwall
100851,,"Handling supplies or material, load and unload",Handling material,24,EE WAS LOADING BELT STRUCTURE INTO A SCOOP BUCKET.  IE STEPPED WITH LEFT FOOT INTO THE SCOOP BUCKET AND LOST FOOTING TWISTING A KNEE. EE CONTINUED TO FEEL A PAIN IN THE KNEE. EE WAS THEN BROUGHT OUT AND TRANSPORTED TO THE DR.,,March,Alabama,Over-exertion NEC,2020,Operator,Other,Longwall
100851,,Hand load; hand shoveling/mucking,Handling material,24,IE WAS SHOVELING ON THE BELT LINE WHEN IE TWISTED RIGHT KNEE.  THE IE FELT A POP AND PAIN IN THE KNEE.  IE WAS THEN BROUGHT OUT AND TRANSPORTED TO THE DR.,,March,Alabama,Over-exertion NEC,2020,Operator,Other,Longwall
100851,,"Handling supplies or material, load and unload",Handling material,26,IE WAS CARRYING MATERIAL ON THE SLOPE WHEN EE SLIPPED AND FELL.  WHEN THE IE PICKED UP THE MATERIAL EE FELT A PAIN IN EE'S LOWER BACK AND A NUMBNESS IN EE'S LEFT HAND.  EE WANTED TO BE BROUGHT OUT AND ASSESSED BY A DOCTOR.,,March,Alabama,Over-exertion in lifting objects,2020,Operator,Slope/inclined shaft,Longwall
100851,,"Handling supplies or material, load and unload",Handtools,8,"EE WAS UNLOADING SUPPLIES FROM A CAR. EE HAD PICKED UP THE SUPPLIES WITH A SET OF CHAIN FALLS. BEFORE THEY LET THEM DOWN THE LOAD SHIFTED CAUSING THEM TO FALL AND STRIKE EE IN THE LOWER LEFT LEG. THE SUPPLIES WERE IMMEDIATELY REMOVED FROM LEG, THE LE","G SPLINTED, AND EE WAS BROUGHT OUT TO WAITING PARAMEDICS. EE WAS TAKEN TO THE HOSPITAL VIA AMBULANCE.",April,Alabama,Struck by falling object,2020,Operator,Other,Longwall
100851,,Unknown,Hoisting,21,THE SLOPE CAR ON THE MATERIAL HOIST BROKE AN AXLE.  THE AXLE WAS REPLACED AND THE HOIST WAS PUT BACK IN SERVICE.  THE HOTLINE WAS CALLED AT TIME AXLE WAS FOUND BROKE AND AFTER HOIST WAS PUT BACK IN SERVICE.,,April,Alabama,Accident type without injuries,2020,Operator,Not labeled,Unknown
