mine_id,injured_person_age,injured_person_gender,injured_person_occupation
100851,-1,Unknown,Unknown
100851,51,Male,"Electrician, Lineman"
100851,47,Male,"Roof bolter, Rock bolter, Pinner, Mobile roof support operator (MRS)"
100851,49,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
100851,34,Male,"Beltman, Conveyor man and belt worker, Mobile bridge carrierman, Feeder operator, Conveyor rider"
100851,20,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,49,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,33,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
100851,36,Male,"Examiner, Fire boss, Pre-shift examiner, Mine examiner"
100851,-1,Unknown,Unknown
100851,55,Male,"Miner, NEC"
100851,53,Male,"Scoop car/Scooptram operator, Load/Haul/Dump (LHD) operator, Teletram operator"
100851,29,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,34,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,33,Male,"Master mechanic, Foreman, Supervisor"
100851,-1,Unknown,Unknown
100851,36,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,43,Male,"Laborer, Bull gang, Faceman, Parts runner, Roustabout, Roof trimmer/scaler"
100851,-1,Unknown,Unknown
100851,35,Male,"Belt foreman, Maintenance foreman, Maintenance supervisor"
100851,54,Male,"Maintenance man, Mechanic, Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech"
100851,57,Male,"LW Propman, Propman helper, Move crew if LW, Move-up man, Jacksetter, Advanceman LW helper"
100851,52,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
100851,-1,Unknown,Unknown
100851,45,Male,"Beltman, Conveyor man and belt worker, Mobile bridge carrierman, Feeder operator, Conveyor rider"
100851,-1,Unknown,Unknown
100851,27,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,40,Male,"Electrician, Lineman"
100851,48,Male,"Electrician, Lineman"
100851,-1,Unknown,Unknown
100851,44,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
100851,28,Male,"Shuttle car operator, Mantrip operator, Ramcar operator, Rail runner, Buggy operator"
100851,48,Male,"Trackman, Track worker, Track gang"
100851,24,Male,"Laborer, Bull gang, Faceman, Parts runner, Roustabout, Roof trimmer/scaler"
100851,25,Male,"Roof bolter, Rock bolter, Pinner, Mobile roof support operator (MRS)"
100851,45,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,21,Male,"Longwall operator, Chock operator, Shear operator, Plow operator"
100851,53,Male,"Roof bolter, Rock bolter, Pinner, Mobile roof support operator (MRS)"
100851,38,Male,"Examiner, Fire boss, Pre-shift examiner, Mine examiner"
100851,62,Male,"Electrician, Lineman"
100851,50,Male,"Laborer, Bull gang, Faceman, Parts runner, Roustabout, Roof trimmer/scaler"
100851,-1,Unknown,Unknown
100851,41,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,49,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,-1,Unknown,Unknown
100851,-1,Unknown,Unknown
100851,50,Male,"Continuous miner operator, Coal mole operator"
100851,30,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,58,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,-1,Unknown,Unknown
100851,57,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
100851,-1,Unknown,Unknown
100851,54,Male,"Roof bolter, Rock bolter, Pinner, Mobile roof support operator (MRS)"
101247,35,Male,"Electrician, Lineman"
101247,56,Male,"Warehouseman, Bagger, Palletizer/Stacker, Storekeeper, Packager, Fabricator, Cleaning plant operator"
101247,27,Male,"Electrician, Lineman"
101247,25,Male,"Continuous miner operator, Coal mole operator"
101247,-1,Unknown,Unknown
101247,45,Male,"Longwall operator, Chock operator, Shear operator, Plow operator"
101247,-1,Unknown,Unknown
101247,48,Male,"Belt foreman, Maintenance foreman, Maintenance supervisor"
101247,25,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
101247,41,Male,"Belt foreman, Maintenance foreman, Maintenance supervisor"
101247,41,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
101247,34,Male,"LW Propman, Propman helper, Move crew if LW, Move-up man, Jacksetter, Advanceman LW helper"
101247,50,Male,"Electrician, Lineman"
101247,54,Male,"Longwall operator, Chock operator, Shear operator, Plow operator"
101247,23,Male,"Maintenance man, Mechanic, Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech"
101247,29,Male,"LW Propman, Propman helper, Move crew if LW, Move-up man, Jacksetter, Advanceman LW helper"
101247,48,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
101247,-1,Unknown,Unknown
101247,55,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
101247,49,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
101247,34,Male,"Continuous miner operator, Coal mole operator"
101247,35,Male,"Electrician, Lineman"
101247,45,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
101247,23,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
101247,-1,Unknown,Unknown
101247,-1,Unknown,Unknown
101247,-1,Unknown,Unknown
101247,33,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
101247,33,Male,"Roof bolter, Rock bolter, Pinner, Mobile roof support operator (MRS)"
101247,29,Male,"Maintenance man, Mechanic, Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech"
101401,70,Male,"Master mechanic, Foreman, Supervisor"
101401,30,Male,"LW Propman, Propman helper, Move crew if LW, Move-up man, Jacksetter, Advanceman LW helper"
101401,43,Male,"Longwall operator, Chock operator, Shear operator, Plow operator"
101401,29,Male,"Utility man, Errand boy, Service truck operator"
101401,66,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
101401,43,Male,"Electrician, Lineman"
101401,39,Female,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
101401,-1,Unknown,Unknown
101401,29,Male,"Roof bolter, Rock bolter, Pinner, Mobile roof support operator (MRS)"
101401,52,Male,"Longwall operator, Chock operator, Shear operator, Plow operator"
101401,46,Male,"Belt foreman, Maintenance foreman, Maintenance supervisor"
101401,-1,Unknown,Unknown
101401,30,Male,"Roof bolter, Rock bolter, Pinner, Mobile roof support operator (MRS)"
101401,29,Male,"Roof bolter, Rock bolter, Pinner, Mobile roof support operator (MRS)"
101401,-1,Unknown,Unknown
101401,39,Male,"Shuttle car operator, Mantrip operator, Ramcar operator, Rail runner, Buggy operator"
101401,51,Male,"Laborer, Bull gang, Parts runner, Roustabout, Roof trimmer/scaler"
101401,33,Male,"Roof bolter, Rock bolter, Pinner, Mobile roof support operator (MRS)"
101401,22,Male,"Maintenance man, Mechanic, Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech"
101401,55,Male,"Motorman, Motor person, Swamper, Switchman, Locomotive operator"
